-->-->-->-->-->-->-->-->-->--> start training ...
GBAF_new: Idx=0, lr=0.001, snr1=3.000 ,snr2=100.000 ,BS=4192 ,loss=2.15 ,BER=0.854 ,num=57279
GBAF_new: Idx=1, lr=0.001, snr1=3.000 ,snr2=100.000 ,BS=4192 ,loss=2.05 ,BER=0.794 ,num=53269
GBAF_new: Idx=2, lr=0.001, snr1=3.000 ,snr2=100.000 ,BS=4192 ,loss=1.99 ,BER=0.758 ,num=50857
GBAF_new: Idx=3, lr=0.001, snr1=2.999 ,snr2=100.000 ,BS=4192 ,loss=1.95 ,BER=0.728 ,num=48835
GBAF_new: Idx=4, lr=0.001, snr1=2.999 ,snr2=100.000 ,BS=4192 ,loss=1.89 ,BER=0.675 ,num=45290
GBAF_new: Idx=5, lr=0.000999, snr1=2.999 ,snr2=100.000 ,BS=4192 ,loss=1.82 ,BER=0.624 ,num=41876
GBAF_new: Idx=6, lr=0.000999, snr1=2.999 ,snr2=100.000 ,BS=4192 ,loss=1.74 ,BER=0.6 ,num=40239
GBAF_new: Idx=7, lr=0.000999, snr1=2.999 ,snr2=100.000 ,BS=4192 ,loss=1.66 ,BER=0.588 ,num=39411
GBAF_new: Idx=8, lr=0.000999, snr1=2.998 ,snr2=100.000 ,BS=4192 ,loss=1.58 ,BER=0.572 ,num=38389
GBAF_new: Idx=9, lr=0.000999, snr1=2.998 ,snr2=100.000 ,BS=4192 ,loss=1.51 ,BER=0.556 ,num=37314
GBAF_new: Idx=10, lr=0.000999, snr1=2.998 ,snr2=100.000 ,BS=4192 ,loss=1.44 ,BER=0.544 ,num=36484
GBAF_new: Idx=11, lr=0.000999, snr1=2.998 ,snr2=100.000 ,BS=4192 ,loss=1.37 ,BER=0.512 ,num=34362
GBAF_new: Idx=12, lr=0.000999, snr1=2.998 ,snr2=100.000 ,BS=4192 ,loss=1.31 ,BER=0.48 ,num=32186
GBAF_new: Idx=13, lr=0.000999, snr1=2.997 ,snr2=100.000 ,BS=4192 ,loss=1.25 ,BER=0.441 ,num=29575
GBAF_new: Idx=14, lr=0.000999, snr1=2.997 ,snr2=100.000 ,BS=4192 ,loss=1.2 ,BER=0.398 ,num=26663
GBAF_new: Idx=15, lr=0.000998, snr1=2.997 ,snr2=100.000 ,BS=4192 ,loss=1.15 ,BER=0.371 ,num=24877
GBAF_new: Idx=16, lr=0.000998, snr1=2.997 ,snr2=100.000 ,BS=4192 ,loss=1.11 ,BER=0.356 ,num=23860
GBAF_new: Idx=17, lr=0.000998, snr1=2.997 ,snr2=100.000 ,BS=4192 ,loss=1.06 ,BER=0.33 ,num=22165
GBAF_new: Idx=18, lr=0.000998, snr1=2.996 ,snr2=100.000 ,BS=4192 ,loss=1.02 ,BER=0.302 ,num=20281
GBAF_new: Idx=19, lr=0.000998, snr1=2.996 ,snr2=100.000 ,BS=4192 ,loss=0.97 ,BER=0.283 ,num=18983
GBAF_new: Idx=20, lr=0.000998, snr1=2.996 ,snr2=100.000 ,BS=4192 ,loss=0.929 ,BER=0.265 ,num=17774
GBAF_new: Idx=21, lr=0.000998, snr1=2.996 ,snr2=100.000 ,BS=4192 ,loss=0.887 ,BER=0.249 ,num=16714
GBAF_new: Idx=22, lr=0.000998, snr1=2.996 ,snr2=100.000 ,BS=4192 ,loss=0.851 ,BER=0.238 ,num=15977
GBAF_new: Idx=23, lr=0.000998, snr1=2.995 ,snr2=100.000 ,BS=4192 ,loss=0.812 ,BER=0.223 ,num=14983
GBAF_new: Idx=24, lr=0.000998, snr1=2.995 ,snr2=100.000 ,BS=4192 ,loss=0.781 ,BER=0.218 ,num=14610
GBAF_new: Idx=25, lr=0.000997, snr1=2.995 ,snr2=100.000 ,BS=4192 ,loss=0.75 ,BER=0.207 ,num=13910
GBAF_new: Idx=26, lr=0.000997, snr1=2.995 ,snr2=100.000 ,BS=4192 ,loss=0.719 ,BER=0.2 ,num=13384
GBAF_new: Idx=27, lr=0.000997, snr1=2.995 ,snr2=100.000 ,BS=4192 ,loss=0.695 ,BER=0.192 ,num=12897
GBAF_new: Idx=28, lr=0.000997, snr1=2.994 ,snr2=100.000 ,BS=4192 ,loss=0.665 ,BER=0.186 ,num=12497
GBAF_new: Idx=29, lr=0.000997, snr1=2.994 ,snr2=100.000 ,BS=4192 ,loss=0.638 ,BER=0.178 ,num=11915
GBAF_new: Idx=30, lr=0.000997, snr1=2.994 ,snr2=100.000 ,BS=4192 ,loss=0.614 ,BER=0.17 ,num=11427
GBAF_new: Idx=31, lr=0.000997, snr1=2.994 ,snr2=100.000 ,BS=4192 ,loss=0.591 ,BER=0.167 ,num=11188
GBAF_new: Idx=32, lr=0.000997, snr1=2.994 ,snr2=100.000 ,BS=4192 ,loss=0.566 ,BER=0.156 ,num=10465
GBAF_new: Idx=33, lr=0.000997, snr1=2.993 ,snr2=100.000 ,BS=4192 ,loss=0.547 ,BER=0.161 ,num=10811
GBAF_new: Idx=34, lr=0.000996, snr1=2.993 ,snr2=100.000 ,BS=4192 ,loss=0.525 ,BER=0.151 ,num=10097
GBAF_new: Idx=35, lr=0.000996, snr1=2.993 ,snr2=100.000 ,BS=4192 ,loss=0.511 ,BER=0.148 ,num=9945
GBAF_new: Idx=36, lr=0.000996, snr1=2.993 ,snr2=100.000 ,BS=4192 ,loss=0.494 ,BER=0.147 ,num=9850
GBAF_new: Idx=37, lr=0.000996, snr1=2.993 ,snr2=100.000 ,BS=4192 ,loss=0.474 ,BER=0.137 ,num=9214
GBAF_new: Idx=38, lr=0.000996, snr1=2.992 ,snr2=100.000 ,BS=4192 ,loss=0.465 ,BER=0.133 ,num=8932
GBAF_new: Idx=39, lr=0.000996, snr1=2.992 ,snr2=100.000 ,BS=4192 ,loss=0.447 ,BER=0.129 ,num=8645
GBAF_new: Idx=40, lr=0.000996, snr1=2.992 ,snr2=100.000 ,BS=4192 ,loss=0.435 ,BER=0.123 ,num=8280
GBAF_new: Idx=41, lr=0.000996, snr1=2.992 ,snr2=100.000 ,BS=4192 ,loss=0.42 ,BER=0.117 ,num=7844
